AÑO,MUNICIPIO,TIPO DE EXPLOTACION,PRODUCCION POR VACA (LITROS/DIA),VACAS PARA ORDEÑO,TOTAL LITROS/DÍA
2018,MIRAFLORES,LECHERIA ESPECIALIZADA,13,50,650
2018,MIRAFLORES,LECHERIA TRADICIONAL,4,3600,14400
2018,MIRAFLORES,DOBLE PROPOSITO,6,1658,9948
2018,MONGUA,LECHERIA ESPECIALIZADA,,,
2018,MONGUA,LECHERIA TRADICIONAL,7,570,3990
2018,MONGUA,DOBLE PROPOSITO,8,890,7120
2018,MONGUI,LECHERIA ESPECIALIZADA,,,
2018,MONGUI,LECHERIA TRADICIONAL,,,
2018,MONGUI,DOBLE PROPOSITO,4,1100,4400
2018,MONIQUIRA,LECHERIA ESPECIALIZADA,12,620,7440
2018,MONIQUIRA,LECHERIA TRADICIONAL,4,2650,10600
2018,MONIQUIRA,DOBLE PROPOSITO,8,300,2400
2018,MOTAVITA,LECHERIA ESPECIALIZADA,10,200,2000
2018,MOTAVITA,LECHERIA TRADICIONAL,5,150,750
2018,MOTAVITA,DOBLE PROPOSITO,7,1350,9450
2018,MUZO,LECHERIA ESPECIALIZADA,10,300,3000
2018,MUZO,LECHERIA TRADICIONAL,8,700,5600
2018,MUZO,DOBLE PROPOSITO,4,800,3200
2018,NOBSA,LECHERIA ESPECIALIZADA,,,
2018,NOBSA,LECHERIA TRADICIONAL,4,950,3800
2018,NOBSA,DOBLE PROPOSITO,,,
2018,NUEVO COLON,LECHERIA ESPECIALIZADA,,,
2018,NUEVO COLON,LECHERIA TRADICIONAL,,,
2018,NUEVO COLON,DOBLE PROPOSITO,6,90,540
2018,OICATA,LECHERIA ESPECIALIZADA,16,900,14400
2018,OICATA,LECHERIA TRADICIONAL,8,500,4000
2018,OICATA,DOBLE PROPOSITO,7,200,1400
2018,OTANCHE,LECHERIA ESPECIALIZADA,10,60,600
2018,OTANCHE,LECHERIA TRADICIONAL,8,500,4000
2018,OTANCHE,DOBLE PROPOSITO,4,3100,12400
2018,PACHAVITA,LECHERIA ESPECIALIZADA,,,
2018,PACHAVITA,LECHERIA TRADICIONAL,5,220,1100
2018,PACHAVITA,DOBLE PROPOSITO,5,1400,7000
2018,PAEZ,LECHERIA ESPECIALIZADA,,,
2018,PAEZ,LECHERIA TRADICIONAL,,,
2018,PAEZ,DOBLE PROPOSITO,4,3150,12600
2018,PAIPA,LECHERIA ESPECIALIZADA,18,100,1800
2018,PAIPA,LECHERIA TRADICIONAL,9,3450,31050
2018,PAIPA,DOBLE PROPOSITO,10,6050,60500
2018,PAJARITO,LECHERIA ESPECIALIZADA,,,
2018,PAJARITO,LECHERIA TRADICIONAL,9,122,1098
2018,PAJARITO,DOBLE PROPOSITO,6,175,1050
2018,PANQUEBA,LECHERIA ESPECIALIZADA,13,50,650
2018,PANQUEBA,LECHERIA TRADICIONAL,7,260,1820
2018,PANQUEBA,DOBLE PROPOSITO,5,300,1500
2018,PAUNA,LECHERIA ESPECIALIZADA,12,730,8760
2018,PAUNA,LECHERIA TRADICIONAL,8,440,3520
2018,PAUNA,DOBLE PROPOSITO,4,720,2880
2018,PAYA,LECHERIA ESPECIALIZADA,12,15,180
2018,PAYA,LECHERIA TRADICIONAL,4,500,2000
2018,PAYA,DOBLE PROPOSITO,8,75,600
2018,PAZ DE RIO,LECHERIA ESPECIALIZADA,,,
2018,PAZ DE RIO,LECHERIA TRADICIONAL,,,
2018,PAZ DE RIO,DOBLE PROPOSITO,6,400,2400
2018,PESCA,LECHERIA ESPECIALIZADA,12,600,7200
2018,PESCA,LECHERIA TRADICIONAL,8,1800,14400
2018,PESCA,DOBLE PROPOSITO,7,2300,16100
2018,PISBA,LECHERIA ESPECIALIZADA,,,
2018,PISBA,LECHERIA TRADICIONAL,3,173,519
2018,PISBA,DOBLE PROPOSITO,2,345,690
2018,PUERTO BOYACA,LECHERIA ESPECIALIZADA,10,3800,38000
